,year,id,recclass,mass (g),fall,reclat,reclong,GeoLocation
278,1399,7823,"Iron, IID",107000.0,Fell,50.18,12.73,"50.18, 12.73"
856,1490,22614,Stone-uncl,103.3,Fell,45.48,9.52,"45.48, 9.52"
283,1491,10039,LL6,127000.0,Fell,47.87,7.35,"47.87, 7.35"
5365,1575,5247,"Iron, IAB-MG",50000000.0,Found,-27.47,-60.58,"-27.47, -60.58"
174,1583,5295,Stone-uncl,15000.0,Fell,39.8,16.2,"39.8, 16.2"
26174,1600,16745,"Iron, IIIAB",10100000.0,Found,27.05,-105.43,"27.05, -105.43"
410,1621,12069,Iron,1967.0,Fell,31.0,75.0,"31.0, 75.0"
960,1623,23732,Stone-uncl,10400.0,Fell,50.38,-3.95,"50.38, -3.95"
369,1628,11855,Stone-uncl,29000.0,Fell,51.65,-1.52,"51.65, -1.52"
627,1632,16692,L,1040.0,Fell,35.08,136.93,"35.08, 136.93"
657,1637,16805,Stone-uncl,17000.0,Fell,44.08,6.87,"44.08, 6.87"
1040,1668,24143,H6,40.0,Fell,45.42,11.13,"45.42, 11.13"
737,1671,18033,Stone-uncl,4500.0,Fell,48.5,8.0,"48.5, 8.0"
887,1688,23187,H,695.0,Fell,34.72,137.78,"34.72, 137.78"
892,1715,23457,L,7000.0,Fell,53.35,15.05,"53.35, 15.05"
37632,1716,23615,"Iron, IIAB",1700.0,Found,14.0,-11.0,"14.0, -11.0"
802,1723,18849,L5,39.0,Fell,50.53,14.12,"50.53, 14.12"
37719,1724,23722,"Iron, IVA-an",98000.0,Found,50.5,12.5,"50.5, 12.5"
839,1740,22396,Stone-uncl,24700.0,Fell,43.5,26.53,"43.5, 26.53"
722,1741,17994,H6,14360.0,Fell,33.28,130.2,"33.28, 130.2"
17384,1749,12356,"Pallasite, PMG-an",700000.0,Found,54.9,91.8,"54.9, 91.8"
386,1751,11916,"Iron, IID",49000.0,Fell,46.1,16.33,"46.1, 16.33"
971,1753,23776,H5,7540.0,Fell,49.4,14.65,"49.4, 14.65"
561,1753,14757,H3-5,14000.0,Fell,46.22,5.0,"46.22, 5.0"
20,1766,453,L/LL4,2000.0,Fell,44.65,11.02,"44.65, 11.02"
556,1768,14724,L6,3500.0,Fell,47.85,0.48,"47.85, 0.48"
599,1768,15446,L6,19000.0,Fell,48.18,13.13,"48.18, 13.13"
901,1773,23495,H4,4000.0,Fell,41.72,-0.05,"41.72, -0.05"
860,1775,22642,Stone-uncl,2900.0,Fell,50.35,10.8,"50.35, 10.8"
38056,1776,24018,"Iron, IAB-sLL",3000000.0,Found,19.57,-99.57,"19.57, -99.57"
21673,1781,14695,"Iron, IVA-an",158500.0,Found,29.3,105.3,"29.3, 105.3"
37611,1784,23587,"Iron, IAB?",405.0,Found,27.15,-104.9,"27.15, -104.9"
5083,1784,5015,"Iron, IC",5360000.0,Found,-10.12,-39.2,"-10.12, -39.2"
271,1785,7775,H5,3000.0,Fell,48.9,11.22,"48.9, 11.22"
471,1787,12291,L6,1500.0,Fell,50.62,35.08,"50.62, 35.08"
75,1790,4942,H5,6400.0,Fell,43.95,-0.05,"43.95, -0.05"
45691,1792,30381,"Iron, ungrouped",1000000.0,Found,22.82,-102.57,"22.82, -102.57"
5372,1793,5261,"Iron, IVB",136000.0,Found,-33.5,26.0,"-33.5, 26.0"
919,1794,23586,LL5,3700.0,Fell,43.12,11.6,"43.12, 11.6"
1075,1795,24325,L6,25000.0,Fell,54.14,-0.41,"54.14, -0.41"
660,1795,16851,L,25.5,Fell,9.33,80.83,"9.33, 80.83"
810,1796,18876,Stone-uncl,4500.0,Fell,38.5,-8.0,"38.5, -8.0"
120,1796,5063,H6,1850.0,Fell,49.78,30.17,"49.78, 30.17"
32052,1797,18884,"Iron, ungrouped",500000.0,Found,-7.57,110.83,"-7.57, 110.83"
874,1798,23111,L5,9000.0,Fell,46.05,4.63,"46.05, 4.63"
