reclat,reclong
50.18,12.73
45.48,9.52
47.87,7.35
-27.47,-60.58
39.8,16.2
27.05,-105.43
31,75
50.38,-3.95
51.65,-1.52
35.08,136.93
44.08,6.87
45.42,11.13
48.5,8
34.72,137.78
53.35,15.05
14,-11
50.53,14.12
50.5,12.5
43.5,26.53
33.28,130.2
54.9,91.8
46.1,16.33
49.4,14.65
46.22,5
44.65,11.02
47.85,0.48
48.18,13.13
41.72,-0.05
50.35,10.8
19.57,-99.57
29.3,105.3
27.15,-104.9
-10.12,-39.2
48.9,11.22
50.62,35.08
43.95,-0.05
22.82,-102.57
-33.5,26
43.12,11.6
54.14,-0.41
9.33,80.83
38.5,-8
49.78,30.17
-7.57,110.83
46.05,4.63
25.37,82.92
-20,57
43.87,5.38
48.77,0.63
48.13,12.62
55.9,-4.23
16.8,-97.1
23,-102
23.08,-101.02
49.87,8.65
51.2,112.3
49.97,6.53
42.45,9.03
44.12,4.08
54.5,35.2
41.27,-73.27
32,-95
50.2,14.85
49.28,15.57
28.78,78.83
44.87,10.05
55,34
5.92,-73
47.93,1.57
52.5,30.33
52.45,-8.33
36.5,-79.25
41.68,-3.8
50.75,33.5
13.33,78.95
46.68,1.05
55.47,35.87
52.22,11.25
43.6,1.4
61.2,27.7
52.57,-8.78
25.37,81.67
48.6,38
49,21
44.22,0.62
13.78,78.57
30.3,76.63
47.72,5.37
35.65,139.33
41.05,23.57
43.2,-78.8
76.13,-64.93
50.28,27.68
55,35
42.75,-75.18
50.93,12.13
45.43,-0.45
56,26.43
44.72,4.3
35.57,-79.83
25.95,80.82
-24.2,-68.81
30.33,76.33
27.08,78.33
48.18,6.47
44.08,-69.48
51.33,33.88
44.77,11.28
51.73,102.53
49.88,13.92
21.3,-157.87
17.53,-97.35
38.42,-77.17
48.53,35.98
37.28,14.7
44.3,0.4
36.4,-86.5
53.1,23.2
25.9,83.62
43.73,6.78
37.47,-77.5
40.25,-74
33.02,-83.97
54.03,40.9
49.05,13.77
56.4,-3.43
51.9,-1.12
48.95,17.38
46.63,0.17
34,-87.17
49.37,16.63
31.55,-87.52
29.48,75.5
50.83,25.5
36.17,-87.33
51.78,-1.78
-25.5,18
44.38,5.17
45.37,1.87
-5.2,-36.67
34.07,-98.92
46.25,-1.1
37.75,139
